Date,S_and_P_Comp_P,Dividend_D,Earnings_E,Consumer_Price_Index_CPI,Date_Fraction,Long_Interest_Rate_GS10,Real_Price,Real_Dividend, Real_Total_Return_Price ,Real_Earnings, Real_TR_Scaled_Earnings ,Monthly_Total_Bond_Returns,Real_Total_Bond_Returns,10_Year_Annualized_Stock_Real_Return,10_Year_Annualized_Bond_Real_Return,Real_10_Year_Excess_Annualized_Returns
1878.05,3.34,0.19,0.3,8.56,1878.37,4.3,105.62,5.88,172.38,9.62,15.7,1,2.28,10.59%,4.96%,5.63%
1878.06,3.41,0.19,0.31,8.37,1878.46,4.29,110.29,5.98,180.81,9.86,16.17,1,2.34,9.89%,4.85%,5.04%
1878.07,3.48,0.18,0.31,8.47,1878.54,4.28,111.29,5.89,183.25,9.78,16.1,1,2.32,9.94%,4.85%,5.09%
1878.08,3.45,0.18,0.31,8.56,1878.62,4.27,109.1,5.8,180.45,9.7,16.04,1,2.31,10.38%,4.97%,5.42%
1878.09,3.52,0.18,0.31,8.56,1878.71,4.26,111.32,5.77,184.9,9.72,16.15,1,2.32,10.42%,4.97%,5.46%
1878.1,3.48,0.18,0.31,8.47,1878.79,4.25,111.29,5.81,185.66,9.86,16.45,1,2.35,10.23%,4.73%,5.50%
1878.11,3.47,0.18,0.31,8.37,1878.87,4.24,112.23,5.85,188.04,10,16.76,1,2.39,9.77%,4.49%,5.28%
1878.12,3.45,0.18,0.31,8.18,1878.96,4.23,114.18,5.96,192.14,10.26,17.26,1,2.46,9.37%,4.25%,5.11%
1879.01,3.58,0.18,0.32,8.28,1879.04,4.22,117.12,5.94,197.92,10.33,17.46,1,2.44,9.68%,4.74%,4.94%
1879.02,3.71,0.18,0.32,8.37,1879.12,4.2,119.99,5.93,203.61,10.4,17.66,1,2.42,9.66%,4.97%,4.69%
1879.03,3.65,0.19,0.33,8.28,1879.21,4.19,119.41,6.05,203.48,10.71,18.26,1,2.46,9.61%,4.96%,4.66%
1879.04,3.77,0.19,0.33,8.18,1879.29,4.17,124.77,6.18,213.49,11.03,18.87,1,2.5,9.10%,4.82%,4.29%
1879.05,3.94,0.19,0.34,8.18,1879.37,4.15,130.39,6.23,224.01,11.23,19.28,1,2.52,9.18%,5.06%,4.12%
1879.06,3.96,0.19,0.35,8.09,1879.46,4.14,132.6,6.36,228.7,11.55,19.92,1,2.56,9.17%,4.92%,4.26%
1879.07,4.04,0.19,0.35,8.18,1879.54,4.12,133.7,6.34,231.52,11.61,20.1,1,2.54,8.85%,5.02%,3.83%
1879.08,4.07,0.19,0.36,8.18,1879.62,4.1,134.7,6.4,234.16,11.81,20.52,1,2.55,8.91%,5.00%,3.91%
1879.09,4.22,0.2,0.36,8.47,1879.71,4.09,134.95,6.24,235.51,11.59,20.23,1,2.48,9.01%,5.21%,3.80%
1879.1,4.68,0.2,0.37,8.94,1879.79,4.07,141.7,5.96,248.16,11.15,19.53,1,2.36,8.28%,5.77%,2.51%
1879.11,4.93,0.2,0.37,9.42,1879.87,4.05,141.73,5.7,249.04,10.76,18.9,1,2.25,8.18%,6.31%,1.87%
1879.12,4.92,0.2,0.38,9.7,1879.96,4.04,137.29,5.58,242.05,10.6,18.69,1,2.19,8.33%,6.47%,1.86%
1880.01,5.11,0.21,0.39,9.99,1880.04,4.02,138.51,5.56,245.03,10.55,18.66,1.01,2.14,8.62%,7.03%,1.59%
1880.02,5.2,0.21,0.4,9.99,1880.12,3.99,140.95,5.69,250.18,10.8,19.16,1.01,2.15,8.31%,6.99%,1.33%
1880.03,5.3,0.22,0.41,10.09,1880.21,3.97,142.31,5.77,253.44,10.94,19.49,1.01,2.14,8.13%,7.04%,1.08%
1880.04,5.18,0.22,0.42,9.7,1880.29,3.94,144.54,6.14,258.33,11.63,20.78,1.01,2.24,8.18%,6.59%,1.59%
